CC(N)=O	DTXSID7020005
CC(=O)NC1=CC=C(O)C=C1	DTXSID2020006
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1	DTXSID7020007
CC#N	DTXSID7020009
CC(=O)C1C(=O)OC(C)=CC1=O	DTXSID6020014
CC(=O)NNC1=CC=CC=C1	DTXSID1020015
CC(=O)NC1=CC=C(CC(O)=O)C=C1	DTXSID0020020
CC(=O)NC(CS)C(O)=O	DTXSID5020021
OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O	DTXSID0020022
C=CC=O	DTXSID5020023
CCOC(OCC)C=C	DTXSID0020024
NC(=O)C=C	DTXSID5020027
C=CC#N	DTXSID5020029
CC(C)C1NC(=O)C(NC(=O)C2C(=N)C(=O)C(C)=C3OC4=C(N=C23)C(=CC=C4C)C(=O)NC2C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(NC2=O)C(C)C)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C2CCCN2C1=O	DTXSID9020031
NC(=O)CCCCC(N)=O	DTXSID4020032
OC(=O)CC1=CC=C(OCC=C)C(Cl)=C1	DTXSID4020038
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl	DTXSID8020040
NC(=O)NC1NC(=O)NC1=O	DTXSID3020043
OCC=C	DTXSID8020044
C=CCN=C=S	DTXSID3020047
CCOC1=C(N)C=C(NC(C)=O)C=C1	DTXSID7020053
CCN1C2=C(C=CC=C2)C2=C1C=CC(N)=C2	DTXSID2020054
CC1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1N	DTXSID7020057
NC1=NN=C(O1)C1=CC=C(O1)[N+]([O-])=O	DTXSID2020058
NC1=C(O)C=CC(=C1)[N+]([O-])=O	DTXSID6020062
NC1=C(O)C=C(C=C1)[N+]([O-])=O	DTXSID1020063
